player,Player_Type,Nationality,BasePrice,SellingPrice,PerformanceIndex,runs,boundaries,balls_faced,wickets,balls_bowled,runs_conceded,matches,batting_avg,batting_strike_rate,boundaries_percent,bowling_economy,bowling_avg,bowling_strike_rate,catches,stumpings
A Badoni,Batsman,Indian,2000000,2000000,74,161,18,139,2,12,12,11,14.64,115.83,12.95,6,6,6,8,0
A Manohar,Batsman,Indian,2000000,26000000,72,108,17,79,0,0,0,7,15.43,136.71,21.52,0,0,0,4,0
A Mishra,Spinner,Indian,15000000,40000000,79,362,34,410,166,3317,4022,154,2.35,88.29,8.29,7.28,24.23,19.98,18,0
A Nortje,Pacer,Overseas,10000000,65000000,81,8,0,13,43,706,946,30,0.27,61.54,0,8.04,22,16.42,7,0
A Zampa,Spinner,Overseas,20000000,30000000,80,5,1,8,21,292,373,14,0.36,62.5,12.5,7.66,17.76,13.9,1,0
AB de Villiers,wicketkeeper,Overseas,20000000,110000000,94,5181,667,3487,0,0,0,170,30.48,148.58,19.13,0,0,0,120,8
AD Hales,Batsman,Overseas,10000000,15000000,82,148,19,119,0,0,0,6,24.67,124.37,15.97,0,0,0,2,0
AD Mathews,Allrounder,Overseas,10000000,20000000,76,724,73,599,27,807,1095,46,15.74,120.87,12.19,8.14,40.56,29.89,19,0
AD Russell,Allrounder,Overseas,20000000,120000000,92,2039,313,1212,89,1484,2214,95,21.46,168.23,25.83,8.95,24.88,16.67,23,0
AF Milne,Pacer,Overseas,10000000,19000000,79,23,1,31,7,217,339,10,2.3,74.19,3.23,9.37,48.43,31,7,0
AJ Finch,Batsman,Overseas,15000000,44000000,86,2092,292,1696,1,44,67,90,23.24,123.35,17.22,9.14,66.99,44,29,0
AJ Tye,Pacer,Overseas,10000000,50000000,76,91,11,79,42,714,1005,30,3.03,115.19,13.92,8.45,23.93,17,7,0
AK Markram,Batsman,Overseas,10000000,26000000,83,527,60,400,1,61,87,19,27.74,131.75,15,8.56,86.99,60.99,9,0
AM Rahane,Batsman,Indian,10000000,10000000,81,4074,511,3465,1,6,5,148,27.53,117.58,14.75,5,5,6,63,0
AR Patel,Allrounder,Indian,20000000,90000000,86,1135,121,919,101,2599,3140,122,9.3,123.5,13.17,7.25,31.09,25.73,51,0
AS Joseph,Pacer,Overseas,7500000,25000000,75,20,2,20,13,240,358,12,1.67,100,10,8.95,27.54,18.46,1,0
AS Roy,Pacer,Indian,2000000,2000000,79,0,0,2,2,57,66,3,0,0,0,6.95,33,28.5,5,0
AT Rayudu,wicketkeeper,Indian,20000000,67500000,82,4190,513,3375,0,0,0,173,24.22,124.15,15.2,0,0,0,62,2
Abdul Samad,Batsman,Indian,5000000,40000000,73,228,26,164,2,55,113,19,12,139.02,15.85,12.33,56.5,27.5,14,0
Abhishek Sharma,Batsman,Indian,2000000,65000000,83,667,89,511,7,161,218,36,18.53,130.53,17.42,8.12,31.14,23,6,0
Akash Deep,Pacer,Indian,2000000,2000000,75,0,0,2,5,119,206,5,0,0,0,10.39,41.2,23.8,1,0
Anmolpreet Singh,Batsman,Indian,2000000,2000000,68,29,4,27,0,0,0,3,9.67,107.41,14.81,0,0,0,1,0
Anuj Rawat,Batsman,Indian,2000000,34000000,78,129,17,124,0,0,0,9,14.33,104.03,13.71,0,0,0,10,0
Arshdeep Singh,Pacer,Indian,2000000,40000000,81,23,3,36,40,803,1086,37,0.62,63.89,8.33,8.11,27.15,20.07,6,0
Avesh Khan,Pacer,Indian,2000000,40000000,83,31,5,19,47,868,1190,38,0.82,163.16,26.32,8.23,25.32,18.47,6,0
B Kumar,Pacer,Indian,20000000,42000000,91,241,26,259,154,3384,4064,146,1.65,93.05,10.04,7.21,26.39,21.97,24,0
B Sai Sudharsan,Batsman,Indian,2000000,2000000,82,145,17,118,0,0,0,5,29,122.88,14.41,0,0,0,1,0
BA Stokes,Allrounder,Overseas,20000000,100000000,89,920,111,703,28,717,1005,43,21.4,130.87,15.79,8.41,35.89,25.61,21,0
BB Sran,Pacer,Indian,5000000,22000000,70,10,0,14,18,516,767,24,0.42,71.43,0,8.92,42.61,28.67,4,0
BCJ Cutting,Allrounder,Overseas,7500000,20000000,75,238,34,146,10,288,430,21,11.33,163.01,23.29,8.96,43,28.8,10,0
BE Hendricks,Batsman,Overseas,10000000,18000000,71,1,0,3,9,157,239,7,0.14,33.33,0,9.13,26.56,17.44,3,0
Basil Thampi,Pacer,Indian,3000000,3000000,73,32,2,37,22,539,862,25,1.28,86.49,5.41,9.6,39.18,24.5,4,0
C Munro,Batsman,Overseas,15000000,19000000,76,177,27,144,0,12,15,12,14.75,122.92,18.75,7.5,150000,120000,4,0
C Sakariya,Spinner,Indian,5000000,20000000,78,16,2,25,17,405,521,17,0.94,64,8,7.72,30.65,23.82,6,0
C de Grandhomme,Allrounder,Overseas,15000000,20000000,79,303,36,229,6,230,323,25,12.12,132.31,15.72,8.43,53.83,38.33,6,0
